image,item_name,price,rank1
"https://images-na.ssl-images-amazon.com/images/I/41LpF5n38kL._AC_UL200_SR200,200_.jpg","
            Apple TV (32GB, 4Th Generation)
        ,
            ,
            ,
        ,   ",$149.00,#60
"https://images-na.ssl-images-amazon.com/images/I/71YZlXXFktL._AC_UL200_SR200,200_.jpg","
            TCL 32S325 32 Inch 720p Roku Smart LED TV (2019)
        ,
            ,
            ,
        ,   ",$127.88,#61
"https://images-na.ssl-images-amazon.com/images/I/81By8-4g7hL._AC_UL200_SR200,200_.jpg","
            PASOW 50pcs Cable Ties Reusable Fastening Wire Organizer Cord Rope Holder 7 Inch (Black)
        ,
            ,
            ,
        ,   ",$7.99,#62
"https://images-na.ssl-images-amazon.com/images/I/81mHL0psH-L._AC_UL200_SR200,200_.jpg","
            Sceptre 24"" Curved 75Hz Gaming LED Monitor Full HD 1080P HDMI VGA Speakers, VESA Wall Mount Ready Metal Black 2019 (C248W-1920RN)
        ,
            ,
            ,
        ,   ",$129.99,#63
"https://images-na.ssl-images-amazon.com/images/I/71HgXI4NOsL._AC_UL200_SR200,200_.jpg","
            Mpow BH129 Bluetooth Receiver for Car, Aux Bluetooth Car Adapter 5.0 for Wired Speakers/Headphones/Home Music Streaming Stereo,15-Hour Battery Life,Easy Control On/Off Slider, Built-in Microphone
        ,
            ,
            ,
        ,   ",$15.99,#64
"https://images-na.ssl-images-amazon.com/images/I/81nUym12AOL._AC_UL200_SR200,200_.jpg","
            Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote
        ,
            ,
            ,
        ,   ",$99.99,#65
"https://images-na.ssl-images-amazon.com/images/I/91K9SyGiyzL._AC_UL200_SR200,200_.jpg","
            Acer R240HY bidx 23.8-Inch IPS HDMI DVI VGA (1920 x 1080) Widescreen Monitor,Black
        ,
            ,
            ,
        ,   ",$109.99,#66
"https://images-na.ssl-images-amazon.com/images/I/61J6t8YDJyL._AC_UL200_SR200,200_.jpg","
            12"" Inch Zip Ties White (100 Pack), 40lb Strength, Nylon Cable Wire Ties, By Bolt Dropper.
        ,
            ,
            ,
        ,   ",$5.99,#67
"https://images-na.ssl-images-amazon.com/images/I/51Y-Dulc3bL._AC_UL200_SR200,200_.jpg","
            Apple TV 4K (32GB)
        ,
            ,
            ,
        ,   ",$179.00,#68
"https://images-na.ssl-images-amazon.com/images/I/81h7iJ5-VOL._AC_UL200_SR200,200_.jpg","
            Sceptre E225W-19203R 22"" Ultra Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Metallic Black 2018
        ,
            ,
            ,
        ,   ",$84.97,#69
